,url
0,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1224374&classe=RE-RG
1,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1101937&classe=RE-RG
2,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1187342&classe=RE-RG
3,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1212967&classe=ARE-RG
4,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1247767&classe=ARE-RG
5,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1240999&classe=RE-RG
6,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1211446&classe=RE-RG
7,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1050597&classe=RE-RG
8,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1233096&classe=RE-RG
9,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1171152&classe=RE-RG
10,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1224327&classe=ARE-RG
11,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=929886&classe=RE-RG
12,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1217850&classe=ARE-RG
13,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1208032&classe=ARE-RG
14,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1215727&classe=ARE-RG
15,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1216078&classe=ARE-RG
16,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1218365&classe=ARE-RG
17,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1219067&classe=ARE-RG
18,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1222648&classe=ARE-RG
19,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1210727&classe=RE-RG
20,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1209429&classe=RE-RG
21,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1167478&classe=RE-RG
22,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1182189&classe=RE-RG
23,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1141756&classe=RE-RG
24,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1156197&classe=RE-RG
25,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1199021&classe=RE-RG
26,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1187264&classe=RE-RG
27,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1178310&classe=RE-RG
28,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1121633&classe=ARE-RG
29,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1175650&classe=ARE-RG
30,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1178617&classe=RE-RG
